"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","!CBL=ZAP70","EGCG","HSPB1","-1","1","1"
"2","!CBL=ZAP70","EGCG","AKT1","-1","1","1"
"3","!CBL=ZAP70","EGCG","MK12","-1","1","1"
"4","!CBL=ZAP70","EGCG","MP2K1","-1","1","1"
"5","!CBL=ZAP70","EGCG","MKO3","-1","1","1"
"6","!CBL=ZAP70","EGCG","STAT5","-1","1","1"
"7","IL6=GP130","IL6","STAT1","-1","0","0"
"8","IL6=GP130","IL6","STAT6","-1","0","0"
"9","JAK1=STAT1","REBIF","STAT1","-1","0","0"
"10","JAK1=STAT1","IFNG","STAT1","-1","0","0"
"11","JAK1=STAT1","IL6","STAT1","-1","0","0"
"12","RAC1=MAP3K1","CONA","HSPB1","-1","1","1"
"13","RAC1=MAP3K1","CONA","AKT1","-1","1","1"
"14","RAC1=MAP3K1","CONA","MK12","-1","1","1"
"15","RAC1=MAP3K1","CONA","MP2K1","-1","1","1"
"16","RAC1=MAP3K1","CONA","MKO3","-1","1","1"
"17","RAC1=MAP3K1","CONA","STAT5","-1","1","1"
"18","ZAP70=GRB2","ANTICD3","HSPB1","-1","0","0"
"19","ZAP70=GRB2","ANTICD3","AKT1","-1","0","0"
"20","ZAP70=GRB2","ANTICD3","MK12","-1","0","0"
"21","ZAP70=GRB2","ANTICD3","MP2K1","-1","0","0"
"22","ZAP70=GRB2","ANTICD3","MKO3","-1","0","0"
"23","ZAP70=GRB2","ANTICD3","STAT5","-1","0","0"
"24","ZAP70=GRB2","EGCG","HSPB1","-1","0","0"
"25","ZAP70=GRB2","EGCG","AKT1","-1","0","0"
"26","ZAP70=GRB2","EGCG","MK12","-1","0","0"
"27","ZAP70=GRB2","EGCG","MP2K1","-1","0","0"
"28","ZAP70=GRB2","EGCG","MKO3","-1","0","0"
"29","ZAP70=GRB2","EGCG","STAT5","-1","0","0"
"30","BDNF=GRB2","BDNF","HSPB1","-1","0","0"
"31","BDNF=GRB2","BDNF","AKT1","-1","0","0"
"32","BDNF=GRB2","BDNF","MK12","-1","0","0"
"33","BDNF=GRB2","BDNF","MP2K1","-1","0","0"
"34","BDNF=GRB2","BDNF","MKO3","-1","0","0"
"35","BDNF=GRB2","BDNF","STAT5","-1","0","0"
