"","Reaction","Stimulus","Readout","drugScore"
"1","GP130=JAK1","IL6","STAT1","-0.110875706214689"
"2","IL6=GP130","IL6","STAT1","-0.0120056497175141"
"3","JAK1=STAT1","REBIF","STAT1","-0.0564971751412429"
"4","JAK1=STAT1","IFNG","STAT1","-0.0564971751412429"
"5","JAK1=STAT1","IL6","STAT1","-0.0564971751412429"
"6","MAP3K1=MK12","TNFA","MK12","-0.124694609864101"
"7","MAP3K1=MK12","TNFA","MKO3","-0.124694609864101"
"8","RAF1=MP2K1","BDNF","MP2K1","-0.0225606962895097"
"9","RAS=RAF1","BDNF","MP2K1","-0.0486333791418536"
"10","SGK=MKO3","IL1A","MKO3","-0.0577569094518245"
"11","SGK=MKO3","LPS","MKO3","-0.0577569094518245"
"12","SGK=MKO3","POLYIC","MKO3","-0.0577569094518245"
"13","SGK=MKO3","TNFA","MKO3","-0.0577569094518245"
"14","BDNF=GRB2","BDNF","MP2K1","-0.0254237288135594"
"15","GRB2=RAS","BDNF","MP2K1","-0.0289738891433806"
"16","TNFA=MAP3K1","TNFA","MK12","-0.0838295923041685"
"17","TNFA=MAP3K1","TNFA","MKO3","-0.0838295923041685"
"18","POLYIC=TAK1","POLYIC","MK12","-0.128760116048252"
"19","POLYIC=TAK1","POLYIC","MKO3","-0.128760116048252"
"20","LPS=TAK1","LPS","MK12","-0.144774011299435"
"21","LPS=TAK1","LPS","MKO3","-0.144774011299435"
