TR:CH057:CellType,TR:antiCD3,TR:BDNF,TR:BN201,TR:gilenya,TR:H2O2,TR:rebif,TR:IFNG,TR:NaCl,TR:IL1A,TR:Teriflunomide,TR:IL6,TR:INS,TR:LPS,TR:EGCG,TR:PolyIC,TR:conA,TR:S1P1,TR:TNFA,TR:vitD3,TR:DMF,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5666.25,732.25,9053,56782.8,1396,4338,9366.5,868.25,389.25,428.25,922.75,2846.75,511,29138.5,543.25,442.75,5718.75
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11090,860,8218.5,54584,1557.5,4872.5,12073,1091,477,589,1015,4698,1317,30235,616,407,5207
1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10685,810,9652,51861,1658.5,4493.5,12117.5,2207,512.5,573,867,3498,545,31020,607,493.5,5895
1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11218,805.5,9445,47753,1533,4129,7852.5,1403,428,518,895,2344,405,26299.5,508,561,5634
1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10076,840,10176.5,51618.5,1220,3835,8166,771,442,351,998,2405,422,28573,581,472.5,5933.5
1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,34100.5,823,8240,42144,1574,4046,22041.5,1562,414,476,817,3509.5,633,34031.5,477.5,602,5227
1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11491,647,11257,52564.5,1425,3994.5,8145.5,741,3668,385,6115,3137,434,27719,453.5,640,5444.5
1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,871,667.5,566,6011,420,481,2174,427,655,367,552,289,371,6297,340,1015,790
1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,31412,989,13861,60596.5,1121.5,4988.5,22203,2057.5,614,509,995,2638.5,482,30777,837,590,6881.5
1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4045,852,9572.5,44186.5,1431,4536,12578,2314,468,632,977,3712,611,11697,642,473,4602
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9977.5,802,8125.5,49507,1479,3569,10659,765,432,406,989,1936,383,30234.5,517.5,541.5,6316
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3305.5,721,34516.5,52807,1485.5,4723,9887,1228.5,1147,450.5,9577,4714,752.5,27119,515,576,5428
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3697,601.5,7023,64347,1716,6799,13443,2684,394,946,962,3905.5,573.5,19675.5,879,575,4894
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4855,961,6048,52541.5,841,5675,29969.5,4528,476,867,825,18602,5846,17564,758.5,543,4039.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21406.5,774,2341,37505,1891,2492.5,43955.5,4706,584.5,724.5,822,9558.5,1741,20818,414,364.5,2824.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8186,1033,11337,55646,1757.5,6104,24049,5144,558,532,1029,10718,2019,35208.5,685.5,516.5,5134.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3591,795,8242,45191,1821.5,5414,18718,3079.5,375,409,811,7384.5,967,29565,479,398,4987
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3373,723,8359,46852,1479,4926.5,10576,1562.5,359.5,392,958,3325,645.5,31181,491.5,380,5499.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4335,889,8541,34493.5,1434,5093,17098,6627,370,364,842,8954,1068,32935,421,524.5,5179.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3583.5,815,11115.5,54446,1292.5,4637,7165,804,453.5,360,949,2528.5,410,30789,480.5,397.5,6679.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4625,660,11226,54815,1187,3687,10892,1173,306,338,798,1946,385.5,26565,440,415,5251
