"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","IL6=GP130","IL6","STAT1","-1","0","0"
"2","IL6=GP130","IL6","STAT6","-1","0","0"
"3","JAK1=STAT1","REBIF","STAT1","-1","0","0"
"4","JAK1=STAT1","IL6","STAT1","-1","0","0"
"5","JAK1=STAT6","REBIF","STAT6","-1","1","1"
"6","JAK1=STAT6","IL6","STAT6","-1","1","1"
"7","!LCK=STAT5","IL1A","STAT5","-1","1","1"
"8","!LCK=STAT5","LPS","STAT5","-1","1","1"
"9","!LCK=STAT5","POLYIC","STAT5","-1","1","1"
"10","!LCK=STAT5","TNFA","STAT5","-1","1","1"
"11","BDNF=GRB2","BDNF","MP2K1","-1","0","0"
"12","GRB2=RAS","BDNF","MP2K1","-1","0","0"
