"","Reaction","Stimulus","Readout","drugScore"
"1","JAK1=STAT3","REBIF","STAT3","0"
"2","JAK1=STAT3","IL6","STAT3","0"
"3","RAS=MAP3K1","BDNF","MK12","-0.565277141548328"
"4","RAS=MAP3K1","BDNF","MP2K1","-0.565277141548328"
"5","RAS=MAP3K1","BDNF","MKO3","-0.565277141548328"
"6","RAS=MAP3K1","IL1A","MK12","-0.565277141548328"
"7","RAS=MAP3K1","IL1A","MP2K1","-0.565277141548328"
"8","RAS=MAP3K1","IL1A","MKO3","-0.565277141548328"
"9","RAS=MAP3K1","LPS","MK12","-0.565277141548328"
"10","RAS=MAP3K1","LPS","MP2K1","-0.565277141548328"
"11","RAS=MAP3K1","LPS","MKO3","-0.565277141548328"
"12","RAS=MAP3K1","POLYIC","MK12","-0.565277141548328"
"13","RAS=MAP3K1","POLYIC","MP2K1","-0.565277141548328"
"14","RAS=MAP3K1","POLYIC","MKO3","-0.565277141548328"
"15","RAS=MAP3K1","CONA","MK12","-0.565277141548328"
"16","RAS=MAP3K1","CONA","MP2K1","-0.565277141548328"
"17","RAS=MAP3K1","CONA","MKO3","-0.565277141548328"
"18","RAS=MAP3K1","TNFA","MK12","-0.565277141548328"
"19","RAS=MAP3K1","TNFA","MP2K1","-0.565277141548328"
"20","RAS=MAP3K1","TNFA","MKO3","-0.565277141548328"
"21","TAK1=MAP2K4","IL1A","MK12","-0.360207665292411"
"22","TAK1=MAP2K4","IL1A","MP2K1","-0.360207665292411"
"23","TAK1=MAP2K4","IL1A","MKO3","-0.360207665292411"
"24","TAK1=MAP2K4","LPS","MK12","-0.360207665292411"
"25","TAK1=MAP2K4","LPS","MP2K1","-0.360207665292411"
"26","TAK1=MAP2K4","LPS","MKO3","-0.360207665292411"
"27","TAK1=MAP2K4","POLYIC","MK12","-0.360207665292411"
"28","TAK1=MAP2K4","POLYIC","MP2K1","-0.360207665292411"
"29","TAK1=MAP2K4","POLYIC","MKO3","-0.360207665292411"
"30","BDNF=GRB2","BDNF","MK12","-0.228126431516262"
"31","BDNF=GRB2","BDNF","MP2K1","-0.228126431516262"
"32","BDNF=GRB2","BDNF","MKO3","-0.228126431516262"
"33","GRB2=RAS","BDNF","MK12","-0.278973889143381"
"34","GRB2=RAS","BDNF","MP2K1","-0.278973889143381"
"35","GRB2=RAS","BDNF","MKO3","-0.278973889143381"
"36","GRB2=RAS","IL1A","MK12","-0.278973889143381"
"37","GRB2=RAS","IL1A","MP2K1","-0.278973889143381"
"38","GRB2=RAS","IL1A","MKO3","-0.278973889143381"
"39","GRB2=RAS","LPS","MK12","-0.278973889143381"
"40","GRB2=RAS","LPS","MP2K1","-0.278973889143381"
"41","GRB2=RAS","LPS","MKO3","-0.278973889143381"
"42","GRB2=RAS","POLYIC","MK12","-0.278973889143381"
"43","GRB2=RAS","POLYIC","MP2K1","-0.278973889143381"
"44","GRB2=RAS","POLYIC","MKO3","-0.278973889143381"
"45","GRB2=RAS","CONA","MK12","-0.278973889143381"
"46","GRB2=RAS","CONA","MP2K1","-0.278973889143381"
"47","GRB2=RAS","CONA","MKO3","-0.278973889143381"
"48","GRB2=RAS","TNFA","MK12","-0.278973889143381"
"49","GRB2=RAS","TNFA","MP2K1","-0.278973889143381"
"50","GRB2=RAS","TNFA","MKO3","-0.278973889143381"
"51","CONA=GRB2","CONA","MK12","-0.327683615819209"
"52","CONA=GRB2","CONA","MP2K1","-0.327683615819209"
"53","CONA=GRB2","CONA","MKO3","-0.327683615819209"
