"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","IFNG=JAK1","IFNG","STAT1","0","1","1"
"2","NACL=MK12","NACL","HSPB1","0","0","0"
"3","NACL=MK12","NACL","MK12","0","0","0"
"4","NACL=MK12","NACL","MKO3","0","0","0"
"5","BDNF=GRB2","BDNF","MP2K1","-1","0","0"
"6","MK12=HSPB1","NACL","HSPB1","0","0","0"
"7","MK12=HSPB1","IL1A","HSPB1","0","0","0"
"8","MK12=HSPB1","LPS","HSPB1","0","0","0"
"9","MK12=HSPB1","POLYIC","HSPB1","0","0","0"
"10","MK12=HSPB1","TNFA","HSPB1","0","0","0"
