,TR:UZ027:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ027_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6070,491.75,7625,28976,2652.5,2836,5634.5,872,352.25,413.25,716,5558.75,891,31571,545,492.5,3488.5,115.5,17123.8
UZ027_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6070,491.75,7625,28976,2652.5,2836,5634.5,872,352.25,413.25,716,5558.75,891,31571,545,492.5,3488.5,115.5,17123.8
UZ027_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11693,807,10163,30094.5,3374,4423,7571,1690,433,759,770,13843,4258,40349.5,803.5,554,5954.5,99,17533
UZ027_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3482,459,9170,30694.5,2378,3663,4610,1291,321,436,647,3185,525.5,35389,485,523,4929.5,93.5,17441
UZ027_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2739,451.5,10894,36992.5,2264,3611,4474,1343,298,432,595,2896,408,29068,504,521,7106,122,17256
UZ027_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,43210,477.5,12567,28053,6327,4564.5,10640,1266,341,429.5,569.5,3188,526,38435,722,589,3074,82,17590.5
UZ027_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2609,439.5,9367.5,33544,2408,3076,3807,514,401,434,583,3443.5,493,27822,508,549.5,4858.5,150,17026
UZ027_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2712,430.5,10780,32852,2208,3443,4119,526,2950,419,3203,3834,606.5,26877,468.5,1294.5,4428.5,152,17856
UZ027_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2710.5,442,9464,26715,2070,2563,4717,481,1112,453.5,581.5,3220.5,530,25377,384,402,2541,99,17395
UZ027_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16092,442,11212,33774,1460.5,1937,12524,950,403,563,593,2782,494.5,33613,739,559,3104,85,16703
