,TR:CH062:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH062_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970,512.5,5843.25,34818.8,1805,4658,4118,732.25,373,375,988,4945.25,788,24852.3,483,425.25,3102,96,16571
CH062_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2970,512.5,5843.25,34818.8,1805,4658,4118,732.25,373,375,988,4945.25,788,24852.3,483,425.25,3102,96,16571
CH062_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4996,690,6075.5,32678.5,2328.5,5953,4924.5,797,334,291.5,870.5,8757.5,2456,20209,543,472,2311,86,16772
CH062_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1650,539.5,5241,32598,2114.5,5163,4947,1441.5,347.5,340,835.5,6035,1048,28515,447,479,2423,106,16386
CH062_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1655,478,5072,37304,1695,4542,3372,680,315,261,769,3548,494.5,21755,394,390,3924.5,86,16453
CH062_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1524,538,5353,33544,1499,3551,3590.5,760,338.5,353,844,3140,479,23842.5,419,462,2772,85.5,16703
CH062_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9554,546,8180,42380,2754,6862.5,5308,1009,339.5,397,1036,6869,1168,30568,549,535,4002,117,16680
CH062_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1779,547,8777.5,41895,2534.5,5889.5,4546,809,4449,313,5270.5,6857.5,1096,27384,529.5,880,4441,113,16403
CH062_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1694,570,6949,40857,2296,5150,4762,743,1204.5,391,1101,4199,650.5,23278,454.5,474,3924.5,125,16492.5
CH062_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8838,562,7960,29299,1115.5,3520.5,6979,816,400,305,764.5,2635,480,27003.5,359.5,407,2403,80.5,17014.5
