V1,V2,V3
1,EGCG,-1,EGFR
2,EGFR,1,CBL
3,GP130,1,JAK1
4,IL1A,1,IL1R1
5,IL6,1,GP130
6,JAK1,1,STAT1
7,JAK1,1,STAT6
8,LCK,-1,STAT5
9,MAP2K4,1,MK12
10,MAP3K1,1,MK12
11,MK12,1,SGK
12,PI3K,1,PIP3
13,PIP3,1,AKT1
14,PLCG1,1,DAG1
15,RAF1,1,MP2K1
16,RAS,1,RAF1
17,REBIF,1,JAK1
18,SGK,1,MKO3
19,TCRP,1,ZAP70
20,VAV,1,RAC1
21,DAG1,1,RAS
22,INS,1,PI3K
23,TAK1,1,MK12
24,NACL,1,MK12
25,BDNF,1,GRB2
26,MK12,1,HSPB1
27,MKO3,-1,LCK
28,STAT3,-1,GP130
29,GRB2,1,RAS
30,CONA,1,VAV
31,ANTICD3,1,TCRP
32,TNFA,1,MAP3K1
33,IL1R1,1,TAK1
34,POLYIC,1,TAK1
35,LPS,1,TAK1
