"","Reaction","Stimulus","Readout","drugScore"
"1","AKT1=STAT1","ANTICD3","STAT1","-1"
"2","AKT1=STAT1","INS","STAT1","-1"
"3","IFNG=JAK1","IFNG","STAT1","0"
"4","PIP3=AKT1","INS","AKT1","0"
"5","PIP3=AKT1","INS","STAT1","0"
"6","RAF1=SGK","BDNF","MKO3","-1"
"7","RAF1=SGK","CONA","MKO3","-1"
"8","SLP76=AKT1","ANTICD3","AKT1","-1"
"9","SLP76=AKT1","ANTICD3","STAT1","-1"
"10","TCRP=ZAP70","ANTICD3","AKT1","-1"
"11","TCRP=ZAP70","ANTICD3","STAT1","-1"
"12","ZAP70=SLP76","ANTICD3","AKT1","-1"
"13","ZAP70=SLP76","ANTICD3","STAT1","-1"
"14","CONA=GRB2","CONA","MP2K1","-1"
"15","CONA=GRB2","CONA","MKO3","-1"
"16","ANTICD3=TCRP","ANTICD3","AKT1","-1"
"17","ANTICD3=TCRP","ANTICD3","STAT1","-1"
