"Drug","Interaction","DrugScore"
"Gilenya","IL6=GP130","-1"
"Gilenya","JAK1=STAT1","-1"
"Gilenya","JAK1=STAT6","-1"
"Gilenya","!LCK=STAT5","-1"
"Gilenya","MAP2K4=MK12","0"
"Gilenya","PIP3=AKT1","0"
"Gilenya","TCRP=ZAP70","-1"
"Gilenya","VAV=RAC1","-1"
"Gilenya","NACL=MK12","0"
"Gilenya","BDNF=GRB2","-1"
"Gilenya","!STAT3=GP130","-1"
"Gilenya","GRB2=RAS","-1"
"Gilenya","CONA=VAV","0"
"Gilenya","ANTICD3=TCRP","-1"
"IFNb","!CBL=ZAP70","-1"
"IFNb","IFNG=JAK1","0"
"IFNb","PAG=LCK","-1"
"IFNb","NACL=MK12","0"
"IFNb","MK12=HSPB1","0"
"IFNb","CONA=VAV","0"
"Copaxone","AKT1=STAT1","-1"
"Copaxone","IFNG=JAK1","0"
"Copaxone","MAP2K4=MK12","0"
"Copaxone","PIP3=AKT1","0"
"Copaxone","PLCG1=DAG1","-1"
"Copaxone","RAF1=SGK","-1"
"Copaxone","SLP76=AKT1","-1"
"Copaxone","TCRP=ZAP70","-1"
"Copaxone","ZAP70=SLP76","-1"
"Copaxone","DAG1=RAS","-1"
"Copaxone","H2O2=NF2L2","-1"
"Copaxone","NACL=MK12","0"
"Copaxone","MK12=HSPB1","0"
"Copaxone","CONA=VAV","0"
"Copaxone","CONA=GRB2","-1"
"Copaxone","ANTICD3=TCRP","-1"
"EGCG","JAK1=STAT1","-1"
"EGCG","JAK1=STAT3","0"
"EGCG","!LCK=STAT3","-1"
"EGCG","!LCK=STAT5","-1"
"EGCG","MAP3K1=MAP2K4","-1"
"EGCG","MAP3K1=MK12","-1"
"EGCG","PI3K=PIP3","-1"
"EGCG","PLCG1=DAG1","-1"
"EGCG","RAS=MAP3K1","-1"
"EGCG","TAK1=MAP2K4","-1"
"EGCG","!FYN=ZAP70","-1"
"EGCG","DAG1=RAS","-1"
"EGCG","ZAP70=GRB2","-1"
"EGCG","TAK1=MK12","-1"
"EGCG","NACL=MK12","0"
"EGCG","MK12=HSPB1","0"
"EGCG","!MKO3=LCK","-1"
"EGCG","MKO3=ZAP70","-1"
"EGCG","CONA=VAV","0"
"EGCG","CONA=GRB2","-1"
"Tysabri","IFNG=JAK1","0"
"Tysabri","MAP2K4=MK12","0"
"Tysabri","INS=PI3K","-1"
"Tysabri","NACL=MK12","0"
"Tysabri","BDNF=GRB2","-1"
"Tysabri","MK12=HSPB1","0"
"Tysabri","!MKO3=LCK","-1"
"Tysabri","CONA=VAV","0"
