,weight,start,end,id,type,defective
CBL	-1	LCK,1,CBL,LCK,6,-1,no
SLP76	1	VAV,1,SLP76,VAV,14,1,yes
VAV	1	RAC1,1,VAV,RAC1,18,1,yes
RAC1	1	MAP3K1,1,RAC1,MAP3K1,29,1,yes
EGFR	1	CBL,1,EGFR,CBL,32,1,no
EGCG	-1	EGFR,1,EGCG,EGFR,39,-1,no
RAS	1	RAF1,1,RAS,RAF1,44,1,no
TAK1	1	IKKB,1,TAK1,IKKB,49,1,no
IL1A	1	IL1R1,1,IL1A,IL1R1,51,1,no
GP130	1	JAK1,1,GP130,JAK1,54,1,no
IL6	1	GP130,1,IL6,GP130,55,1,no
PLCG1	1	DAG1,1,PLCG1,DAG1,59,1,no
MAP3K1	1	MK12,1,MAP3K1,MK12,62,1,no
MAP2K6	1	MK12,1,MAP2K6,MK12,64,1,no
NACL	1	MAP2K6,1,NACL,MAP2K6,65,1,no
LCK	1	STAT5,1,LCK,STAT5,83,1,yes
LCK	1	STAT1,1,LCK,STAT1,84,1,no
LCK	1	STAT3,1,LCK,STAT3,85,1,yes
JAK1	1	STAT3,1,JAK1,STAT3,90,1,no
REBIF	1	JAK1,1,REBIF,JAK1,94,1,no
RAF1	1	MP2K1,1,RAF1,MP2K1,112,1,no
MK12	1	SGK,1,MK12,SGK,117,1,yes
SGK	1	MKO3,1,SGK,MKO3,118,1,no
INSR	1	PI3K,1,INSR,PI3K,123,1,no
INS	1	INSR,1,INS,INSR,124,1,no
IKBA	-1	TF65,1,IKBA,TF65,126,-1,yes
IKKB	-1	IKBA,1,IKKB,IKBA,127,-1,yes
PLCG1	1	IKKB,1,PLCG1,IKKB,137,1,yes
PAG	-1	LCK,1,PAG,LCK,142,-1,no
TCRP	1	DAG1,1,TCRP,DAG1,143,1,yes
ANTICD3	-1	PAG,1,ANTICD3,PAG,144,-1,no
DAG1	1	RAS,1,DAG1,RAS,155,1,no
BDNF	1	GRB2,1,BDNF,GRB2,156,1,no
TAK1	1	MK12,1,TAK1,MK12,157,1,yes
POLYIC	1	TAK1,1,POLYIC,TAK1,158,1,no
GP130	1	GRB2,1,GP130,GRB2,160,1,yes
IL1R1	1	TAK1,1,IL1R1,TAK1,163,1,no
LPS	1	TAK1,1,LPS,TAK1,164,1,no
TNFA	1	IKKB,1,TNFA,IKKB,166,1,no
TNFA	1	MAP3K1,1,TNFA,MAP3K1,167,1,no
GRB2	1	SLP76,1,GRB2,SLP76,172,1,no
CONA	1	VAV,1,CONA,VAV,173,1,yes
