,weight,start,end,id,type
ITK	1	PLCG1,1,ITK,PLCG1,2,1
CBL	-1	LCK,1,CBL,LCK,6,-1
EGFR	1	CBL,1,EGFR,CBL,32,1
EGCG	-1	EGFR,1,EGCG,EGFR,39,-1
RAS	1	RAF1,1,RAS,RAF1,44,1
IL1A	1	IL1R1,1,IL1A,IL1R1,51,1
GP130	1	JAK1,1,GP130,JAK1,54,1
IL6	1	GP130,1,IL6,GP130,55,1
PLCG1	1	DAG1,1,PLCG1,DAG1,59,1
MAP3K1	1	MK12,1,MAP3K1,MK12,62,1
RPS6KA5	1	HSPB1,1,RPS6KA5,HSPB1,63,1
MAP2K6	1	MK12,1,MAP2K6,MK12,64,1
NACL	1	MAP2K6,1,NACL,MAP2K6,65,1
LCK	1	STAT1,1,LCK,STAT1,84,1
IFNG	1	JAK1,1,IFNG,JAK1,89,1
JAK1	1	STAT1,1,JAK1,STAT1,93,1
REBIF	1	JAK1,1,REBIF,JAK1,94,1
PI3K	1	PIP3,1,PI3K,PIP3,96,1
RAF1	1	MP2K1,1,RAF1,MP2K1,112,1
MK12	1	RPS6KA5,1,MK12,RPS6KA5,114,1
SGK	1	MKO3,1,SGK,MKO3,118,1
INSR	1	PI3K,1,INSR,PI3K,123,1
INS	1	INSR,1,INS,INSR,124,1
IKKB	1	SGK,1,IKKB,SGK,128,1
PIP3	1	AKT1,1,PIP3,AKT1,131,1
PAG	-1	LCK,1,PAG,LCK,142,-1
ANTICD3	-1	PAG,1,ANTICD3,PAG,144,-1
DAG1	1	RAS,1,DAG1,RAS,155,1
BDNF	1	GRB2,1,BDNF,GRB2,156,1
POLYIC	1	TAK1,1,POLYIC,TAK1,158,1
IL1R1	1	TAK1,1,IL1R1,TAK1,163,1
LPS	1	TAK1,1,LPS,TAK1,164,1
TNFA	1	IKKB,1,TNFA,IKKB,166,1
TNFA	1	MAP3K1,1,TNFA,MAP3K1,167,1
GRB2	1	SLP76,1,GRB2,SLP76,172,1
