V1,V2,V3
1,AKT1,1,GSK3A
2,AKT1,-1,RAF1
3,ANTICD3,1,WNK1
4,BCLXL,-1,P53
5,BN201,1,SGK
6,CBL,-1,EGFR
7,CBL,1,LCK
8,CBL,-1,PGFRB
9,CBL,-1,PI3K
10,CBL,-1,ZAP70
11,CREB1,1,JUN
12,DMF,1,NF2L2
13,EGCG,-1,EGFR
14,EGCG,-1,MKO3
15,EGFR,1,CBL
16,EGFR,1,GRB2
17,FYN,-1,PAG
18,FYN,-1,TCRP
19,GP130,1,JAK1
20,GP130,1,PTN11
21,IFNG,1,JAK1
22,IKBA,1,TF65
23,IL1A,1,IL1R1
24,IL6,1,GP130
25,JAK1,1,PTN11
26,JAK1,1,STAT1
27,JUN,1,CREB1
28,LCK,1,FYN
29,LCK,-1,STAT3
30,LCK,-1,ZAP70
31,MAP2K4,1,MK12
32,MAP3K1,1,MAP2K4
33,MAP3K1,1,MK12
34,MK12,1,CREB1
35,MK12,1,SGK
36,MK12,-1,TAK1
37,MP2K1,1,MKO3
38,NF2L2,1,CREB1
39,PI3K,1,PIP3
40,PIP3,1,KPCZ
41,PKC,1,FAK1
42,PLCG1,1,DAG1
43,PLCG1,1,PKC
44,PTN11,1,GRB2
45,RAC1,1,MAP3K1
46,RAF1,1,MP2K1
47,RAF1,1,SGK
48,RAS,1,MAP3K1
49,RAS,1,RAF1
50,REBIF,1,JAK1
51,SGK,1,MKO3
52,SH3BP2,1,VAV
53,SLP76,1,AKT1
54,SOCS1,-1,STAT1
55,STAT5,1,BCLXL
56,TAK1,1,MAP2K4
57,VAV,1,PKC
58,VAV,1,PLCG1
59,VAV,1,RAC1
60,ZAP70,1,SH3BP2
61,PAG,1,FYN
62,PAG,1,LCK
63,BCLXL,-1,FAK1
64,STAT3,1,JUN
65,GRB2,-1,SLP76
66,DAG1,1,RAS
67,KPCZ,-1,FAK1
68,SGK,-1,FAK1
69,KPCZ,1,IKBA
70,TAK1,1,IKBA
71,INS,1,PI3K
72,SLP76,1,PLCG1
73,MK12,1,JUN
74,H2O2,1,NF2L2
75,ZAP70,1,GRB2
76,TAK1,1,MK12
77,NACL,1,MK12
78,RAC1,1,MAP2K4
79,ZAP70,1,MAP2K4
80,BDNF,1,GRB2
81,P53,-1,PIP3
82,P53,-1,BCLXL
83,EGCG,-1,CREB1
84,PI3K,1,CREB1
85,GILENYA,-1,KPCZ
86,S1P1,-1,KPCZ
87,MKO3,-1,LCK
88,MKO3,1,ZAP70
89,STAT3,-1,GP130
90,GRB2,1,RAS
91,CONA,1,STAT1
92,CONA,1,STAT5
93,ANTICD3,-1,PAG
94,TNFA,1,CASP8
95,TNFA,1,MAP3K1
96,TNFA,1,IKBA
97,IL1R1,1,TAK1
98,POLYIC,1,TAK1
99,LPS,1,TAK1
100,SH3BP2,1,RAC1
101,VITD3,1,STAT1
