"","Reaction","Stimulus","Readout","drugScore"
"1","GP130=JAK1","IL6","STAT1","-0.0999107939339875"
"2","REBIF=JAK1","REBIF","STAT1","-0.0500036164621356"
"3","TAK1=MK12","IL1A","HSPB1","-0.145405887600357"
"4","TAK1=MK12","IL1A","MK12","-0.145405887600357"
"5","TAK1=MK12","IL1A","MKO3","-0.145405887600357"
"6","TAK1=MK12","IL1A","STAT5","-0.145405887600357"
"7","TAK1=MK12","LPS","HSPB1","-0.145405887600357"
"8","TAK1=MK12","LPS","MK12","-0.145405887600357"
"9","TAK1=MK12","LPS","MKO3","-0.145405887600357"
"10","TAK1=MK12","LPS","STAT5","-0.145405887600357"
"11","TAK1=MK12","POLYIC","HSPB1","-0.145405887600357"
"12","TAK1=MK12","POLYIC","MK12","-0.145405887600357"
"13","TAK1=MK12","POLYIC","MKO3","-0.145405887600357"
"14","TAK1=MK12","POLYIC","STAT5","-0.145405887600357"
"15","BDNF=GRB2","BDNF","MP2K1","-0.0517395182872436"
"16","CONA=STAT1","CONA","STAT1","-0.0637461725775731"
"17","!ANTICD3=PAG","ANTICD3","STAT5","-0.0637461725775731"
