"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","AKT1=GSK3A","BDNF","GSK3A","-0.185136897001304","0","0.153846153846154"
"2","AKT1=GSK3A","IL1A","GSK3A","-0.185136897001304","0","0.153846153846154"
"3","AKT1=GSK3A","INS","GSK3A","-0.185136897001304","0","0.153846153846154"
"4","AKT1=GSK3A","LPS","GSK3A","-0.185136897001304","0","0.153846153846154"
"5","AKT1=GSK3A","POLYIC","GSK3A","-0.185136897001304","0","0.153846153846154"
"6","AKT1=GSK3A","CONA","GSK3A","-0.185136897001304","0","0.153846153846154"
"7","AKT1=GSK3A","TNFA","GSK3A","-0.185136897001304","0","0.153846153846154"
"8","IL1A=IL1R1","IL1A","HSPB1","-0.105606258148631","1","0.538461538461538"
"9","IL1A=IL1R1","IL1A","AKT1","-0.105606258148631","1","0.538461538461538"
"10","IL1A=IL1R1","IL1A","MK12","-0.105606258148631","1","0.538461538461538"
"11","IL1A=IL1R1","IL1A","GSK3A","-0.105606258148631","1","0.538461538461538"
"12","IL1A=IL1R1","IL1A","MP2K1","-0.105606258148631","1","0.538461538461538"
"13","IL1A=IL1R1","IL1A","MKO3","-0.105606258148631","1","0.538461538461538"
"14","IL1A=IL1R1","IL1A","STAT5","-0.105606258148631","1","0.538461538461538"
"15","IL6=GP130","IL6","STAT6","-0.426160188872053","0","0.307692307692308"
"16","RAC1=MAP3K1","CONA","HSPB1","-0.190352020860495","1","0.461538461538462"
"17","RAC1=MAP3K1","CONA","AKT1","-0.190352020860495","1","0.461538461538462"
"18","RAC1=MAP3K1","CONA","MK12","-0.190352020860495","1","0.461538461538462"
"19","RAC1=MAP3K1","CONA","GSK3A","-0.190352020860495","1","0.461538461538462"
"20","RAC1=MAP3K1","CONA","MP2K1","-0.190352020860495","1","0.461538461538462"
"21","RAC1=MAP3K1","CONA","MKO3","-0.190352020860495","1","0.461538461538462"
"22","RAC1=MAP3K1","CONA","STAT5","-0.190352020860495","1","0.461538461538462"
"23","REBIF=JAK1","REBIF","STAT6","-0.0904894464216498","1","0.538461538461538"
"24","BDNF=GRB2","BDNF","HSPB1","-0.140808344198175","0","0.384615384615385"
"25","BDNF=GRB2","BDNF","AKT1","-0.140808344198175","0","0.384615384615385"
"26","BDNF=GRB2","BDNF","MK12","-0.140808344198175","0","0.384615384615385"
"27","BDNF=GRB2","BDNF","GSK3A","-0.140808344198175","0","0.384615384615385"
"28","BDNF=GRB2","BDNF","MP2K1","-0.140808344198175","0","0.384615384615385"
"29","BDNF=GRB2","BDNF","MKO3","-0.140808344198175","0","0.384615384615385"
"30","BDNF=GRB2","BDNF","STAT5","-0.140808344198175","0","0.384615384615385"
"31","MK12=HSPB1","BDNF","HSPB1","-0.276753937770887","1","0.846153846153846"
"32","MK12=HSPB1","IL1A","HSPB1","-0.276753937770887","1","0.846153846153846"
"33","MK12=HSPB1","INS","HSPB1","-0.276753937770887","1","0.846153846153846"
"34","MK12=HSPB1","LPS","HSPB1","-0.276753937770887","1","0.846153846153846"
"35","MK12=HSPB1","POLYIC","HSPB1","-0.276753937770887","1","0.846153846153846"
"36","MK12=HSPB1","CONA","HSPB1","-0.276753937770887","1","0.846153846153846"
"37","MK12=HSPB1","TNFA","HSPB1","-0.276753937770887","1","0.846153846153846"
"38","IL1R1=TAK1","IL1A","HSPB1","-0.122555410691004","1","0.538461538461538"
"39","IL1R1=TAK1","IL1A","AKT1","-0.122555410691004","1","0.538461538461538"
"40","IL1R1=TAK1","IL1A","MK12","-0.122555410691004","1","0.538461538461538"
"41","IL1R1=TAK1","IL1A","GSK3A","-0.122555410691004","1","0.538461538461538"
"42","IL1R1=TAK1","IL1A","MP2K1","-0.122555410691004","1","0.538461538461538"
"43","IL1R1=TAK1","IL1A","MKO3","-0.122555410691004","1","0.538461538461538"
"44","IL1R1=TAK1","IL1A","STAT5","-0.122555410691004","1","0.538461538461538"
