"","Reaction","Stimulus","Readout","drugScore","Boolean network activity","Group network activity"
"1","!CBL=ZAP70","EGCG","AKT1","-0.194915254237288","1","0.5"
"2","!CBL=ZAP70","EGCG","GSK3A","-0.194915254237288","1","0.5"
"3","GP130=JAK1","IL6","STAT1","-0.110875706214689","1","0.958333333333333"
"4","GP130=JAK1","IL6","STAT3","-0.110875706214689","1","0.958333333333333"
"5","JAK1=STAT1","REBIF","STAT1","-0.0564971751412429","1","0.666666666666667"
"6","JAK1=STAT1","IFNG","STAT1","-0.0564971751412429","1","0.666666666666667"
"7","JAK1=STAT1","IL6","STAT1","-0.0564971751412429","1","0.666666666666667"
"8","MAP3K1=MAP2K4","BDNF","HSPB1","-0.0798022598870056","0","0.208333333333333"
"9","MAP3K1=MAP2K4","BDNF","MK12","-0.0798022598870056","0","0.208333333333333"
"10","MAP3K1=MAP2K4","BDNF","MKO3","-0.0798022598870056","0","0.208333333333333"
"11","MAP3K1=MAP2K4","INS","HSPB1","-0.0798022598870056","0","0.208333333333333"
"12","MAP3K1=MAP2K4","INS","MK12","-0.0798022598870056","0","0.208333333333333"
"13","MAP3K1=MAP2K4","INS","MKO3","-0.0798022598870056","0","0.208333333333333"
"14","MAP3K1=MAP2K4","CONA","HSPB1","-0.0798022598870056","0","0.208333333333333"
"15","MAP3K1=MAP2K4","CONA","MK12","-0.0798022598870056","0","0.208333333333333"
"16","MAP3K1=MAP2K4","CONA","MKO3","-0.0798022598870056","0","0.208333333333333"
"17","MAP3K1=MAP2K4","TNFA","HSPB1","-0.0798022598870056","0","0.208333333333333"
"18","MAP3K1=MAP2K4","TNFA","MK12","-0.0798022598870056","0","0.208333333333333"
"19","MAP3K1=MAP2K4","TNFA","MKO3","-0.0798022598870056","0","0.208333333333333"
"20","MAP3K1=MK12","BDNF","HSPB1","-0.124694609864101","1","0.791666666666667"
"21","MAP3K1=MK12","BDNF","MK12","-0.124694609864101","1","0.791666666666667"
"22","MAP3K1=MK12","BDNF","MKO3","-0.124694609864101","1","0.791666666666667"
"23","MAP3K1=MK12","INS","HSPB1","-0.124694609864101","1","0.791666666666667"
"24","MAP3K1=MK12","INS","MK12","-0.124694609864101","1","0.791666666666667"
"25","MAP3K1=MK12","INS","MKO3","-0.124694609864101","1","0.791666666666667"
"26","MAP3K1=MK12","CONA","HSPB1","-0.124694609864101","1","0.791666666666667"
"27","MAP3K1=MK12","CONA","MK12","-0.124694609864101","1","0.791666666666667"
"28","MAP3K1=MK12","CONA","MKO3","-0.124694609864101","1","0.791666666666667"
"29","MAP3K1=MK12","TNFA","HSPB1","-0.124694609864101","1","0.791666666666667"
"30","MAP3K1=MK12","TNFA","MK12","-0.124694609864101","1","0.791666666666667"
"31","MAP3K1=MK12","TNFA","MKO3","-0.124694609864101","1","0.791666666666667"
"32","SLP76=AKT1","ANTICD3","AKT1","-0.136299435028249","1","0.458333333333333"
"33","SLP76=AKT1","ANTICD3","GSK3A","-0.136299435028249","1","0.458333333333333"
"34","SLP76=AKT1","EGCG","AKT1","-0.136299435028249","1","0.458333333333333"
"35","SLP76=AKT1","EGCG","GSK3A","-0.136299435028249","1","0.458333333333333"
"36","NACL=MK12","NACL","HSPB1","-0.155367231638418","0","0.166666666666667"
"37","NACL=MK12","NACL","MK12","-0.155367231638418","0","0.166666666666667"
"38","NACL=MK12","NACL","MKO3","-0.155367231638418","0","0.166666666666667"
"39","LPS=TAK1","LPS","HSPB1","-0.144774011299435","1","0.958333333333333"
"40","LPS=TAK1","LPS","MK12","-0.144774011299435","1","0.958333333333333"
"41","LPS=TAK1","LPS","MKO3","-0.144774011299435","1","0.958333333333333"
