,TR:CH040:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH040_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4555,426,7559,31319.5,1454.25,3289.5,4152.75,715.5,338.25,431,684,2651,491.75,18516,617.5,441.25,5750.5,109,15655.8
CH040_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4555,426,7559,31319.5,1454.25,3289.5,4152.75,715.5,338.25,431,684,2651,491.75,18516,617.5,441.25,5750.5,109,15655.8
CH040_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4555,426,7559,31319.5,1454.25,3289.5,4152.75,715.5,338.25,431,684,2651,491.75,18516,617.5,441.25,5750.5,109,15655.8
CH040_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8774,541,7099,28596,1867,4964,5253.5,761,384.5,459,745,6410,1836,18556,674,522,4855,143,15408
CH040_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5736.5,464.5,7351,31897,1627,3607.5,4270,742.5,361.5,409,685,3277,624.5,18383.5,692,421.5,5821,111,15579
CH040_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5321,480,7061,29450,1638.5,3542,3707.5,720,364.5,426,787.5,2487,447,17541,665.5,486.5,5984.5,140,15629
CH040_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6062,517,7429,30881,1622,3580,4610,687,379,427.5,691,3088,607,18695,635,409.5,5842,130,15607
CH040_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8955,520,7353,31043,1814.5,3645,3734,693,367,461,684.5,3350,564,18141,627.5,489,5885,112.5,15776
CH040_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5887,470.5,8923,33697,1621,3582,4775,610,2239,381,2778,3049.5,542,16596.5,664,451,7668.5,99,15487.5
CH040_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8107,431.5,8134,38590,1648,3386,5480,708,478,365.5,758,2993,521.5,17252.5,654,410.5,7661,82,15983
CH040_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17760.5,504,9000,28873,1292.5,3890,10396,865.5,362,434.5,706.5,4481,508,18095,542,400,4250,122,15601.5
CH040_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5907.5,472.5,6604.5,31169.5,1497,3879.5,6953,1947,387,427,679.5,3677,602,19480,600,363.5,5577,112,15745
CH040_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8811,450.5,7244,29265,1594,3214.5,3965,794.5,402,554,670,2564,456.5,20414.5,690,446,6534,93.5,15872
CH040_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5759,503.5,33131.5,30558,1636,3794.5,3971,786,1741,510.5,7726,4383,933.5,18787,736,486.5,6663,118.5,15394.5
CH040_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10096.5,512,6625,29635,3277,7109,4697,771,380,474.5,632,8626,2355,18787,670.5,412.5,4590,105,15645
