,TR:CH009:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH009_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,1254.5,3814.75,28988.5,1904.75,2326.5,18966.3,698.5,683.25,399.5,945,2498.5,704.5,20569.8,506.5,398,1764.75,109.5,16749
CH009_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1364,1254.5,3814.75,28988.5,1904.75,2326.5,18966.3,698.5,683.25,399.5,945,2498.5,704.5,20569.8,506.5,398,1764.75,109.5,16749
CH009_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1364,1254.5,3814.75,28988.5,1904.75,2326.5,18966.3,698.5,683.25,399.5,945,2498.5,704.5,20569.8,506.5,398,1764.75,109.5,16749
CH009_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1293,1428,3719,32381,2292,2645.5,18949,614,691,399.5,1015,2492,764.5,18856,533,490,2261,100,16821
CH009_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1048.5,1292,3964.5,33997,2000,2692,17829.5,745,578,408,968,2241,525,20506.5,463.5,474.5,2684,104,16582
CH009_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1040.5,1290,3910,32197,2033,2681,17356,600.5,606,409,1103,2115,454,19480,505,468,2889,101.5,16565
CH009_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1162,1312.5,4473,33374,2099,2633,19514.5,763,792.5,542.5,1021,2282,586,23957,514,505,2280,120,16709.5
CH009_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1107.5,1210,3540,30546.5,2012.5,2275,17921.5,667.5,623.5,363,965,1994.5,466,8278,447,468,1989.5,114,16658.5
CH009_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1546,1208,5022.5,34920,2421.5,2946,18083.5,610,1729,398.5,2772,2723,635,20518,544,562.5,2397,120,16773
CH009_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1366,1266.5,4744,37078,1934.5,2630,18879,509,569.5,350,970,2080,452,18948.5,525,525,2269,102.5,16779.5
CH009_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6610,1340,6889,29623.5,1867.5,2802,22572,897.5,670,500.5,950,2479,481,22883.5,502,501,2053,109,16503.5
CH009_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1851,1470,3646,30915.5,2256,2537,20726,2007,829,453.5,985,2745,668.5,23368.5,469,440,2121.5,94,16775
