,TR:KI023:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI023_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4385.25,644,5831.5,33997,1714,3316.5,9259,717.5,322.5,399.25,568,2590.25,512.5,20679.8,566,384,3397.25,106.5,14927.5
KI023_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4385.25,644,5831.5,33997,1714,3316.5,9259,717.5,322.5,399.25,568,2590.25,512.5,20679.8,566,384,3397.25,106.5,14927.5
KI023_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4385.25,644,5831.5,33997,1714,3316.5,9259,717.5,322.5,399.25,568,2590.25,512.5,20679.8,566,384,3397.25,106.5,14927.5
KI023_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5989.5,763.5,5786.5,29784.5,2028.5,3438,10761.5,723,373.5,479,694,3027,877.5,19341,537,NaN,2929,110.5,14912.5
KI023_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5470,713,5720,30707.5,1804.5,3038,9043.5,668,332.5,354,597.5,2106,496,20714,516,433,2367,112,14814
KI023_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5387,701,5501,30489,1813,2670.5,8557.5,654,319.5,422,609,1880,356,18625.5,496,392,2602.5,96,14843
KI023_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6076.5,456,5429.5,28227,1613.5,3008.5,8866,558,289,322,505.5,1918,425,18625.5,503,514.5,2132,88,14674
KI023_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5704.5,789.5,5515.5,29415.5,1838,3218,7942,729,341,389,628,2194,507.5,23449,639.5,479,2254.5,71.5,14808
KI023_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5618,716,5968,30812,1969,2892,9116,642,1099,346.5,1107,2103,512,19387,557,560.5,2160.5,107.5,14573
KI023_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5798.5,712,6750,34839.5,1647,2629,9464,726,389,418,617.5,2322,467,20656.5,523,597,2978,88,14795
