V1,V2,V3
1,AKT1,1,GSK3A
2,AKT1,-1,RAF1
3,AKT1,-1,SLP76
4,AKT1,-1,ZAP70
5,BCLXL,-1,P53
6,BN201,1,SGK
7,CBL,-1,EGFR
8,CBL,-1,PGFRB
9,CBL,-1,PI3K
10,CBL,-1,ZAP70
11,DMF,1,NF2L2
12,EGCG,-1,EGFR
13,EGCG,-1,MKO3
14,EGFR,1,CBL
15,FYN,-1,PAG
16,FYN,-1,TCRP
17,GP130,1,JAK1
18,IKBA,1,TF65
19,IL1A,1,IL1R1
20,IL6,1,GP130
21,JAK1,1,AKT1
22,JAK1,1,PTN11
23,JAK1,1,STAT1
24,JAK1,1,STAT6
25,JUN,1,CREB1
26,LCK,1,FYN
27,LCK,-1,PI3K
28,LCK,-1,STAT3
29,LCK,-1,STAT5
30,LCK,-1,TCRP
31,LCK,-1,ZAP70
32,MAP3K1,1,MK12
33,MK12,1,CREB1
34,MK12,1,SGK
35,MK12,-1,TAK1
36,MP2K1,1,MKO3
37,NF2L2,1,CREB1
38,P53,1,CASP8
39,PGFRB,1,GRB2
40,PI3K,1,PIP3
41,PIP3,1,AKT1
42,PIP3,1,KPCZ
43,PKC,1,FAK1
44,PLCG1,1,DAG1
45,PLCG1,1,PKC
46,PTN11,1,GRB2
47,RAC1,1,MAP3K1
48,RAF1,1,MP2K1
49,RAF1,1,SGK
50,RAS,1,MAP3K1
51,RAS,1,RAF1
52,REBIF,1,JAK1
53,SGK,1,CREB1
54,SGK,1,MKO3
55,SLP76,1,AKT1
56,SOCS1,-1,STAT1
57,STAT5,1,BCLXL
58,TAK1,1,MAP2K4
59,TCRP,1,ZAP70
60,VAV,1,PLCG1
61,VAV,1,RAC1
62,ZAP70,1,SH3BP2
63,FYN,-1,ZAP70
64,AKT1,1,BCLXL
65,BCLXL,-1,FAK1
66,STAT3,1,JUN
67,DAG1,1,RAS
68,KPCZ,-1,FAK1
69,SGK,-1,FAK1
70,KPCZ,1,IKBA
71,TAK1,1,IKBA
72,CONA,1,PI3K
73,INS,1,PI3K
74,SLP76,1,PLCG1
75,ZAP70,1,GRB2
76,TAK1,1,MK12
77,NACL,1,MK12
78,RAC1,1,MAP2K4
79,MAP2K4,1,JUN
80,PKC,1,IKBA
81,BDNF,1,GRB2
82,PIP3,1,PKC
83,ZAP70,1,PLCG1
84,P53,-1,PIP3
85,MK12,1,HSPB1
86,EGCG,-1,CREB1
87,PIP3,1,CREB1
88,GILENYA,-1,KPCZ
89,S1P1,-1,KPCZ
90,CONA,-1,PIP3
91,MKO3,-1,LCK
92,MKO3,1,ZAP70
93,STAT3,-1,GP130
94,GRB2,1,RAS
95,CONA,1,PLCG1
96,CONA,1,STAT1
97,CONA,1,STAT3
98,CONA,1,STAT5
99,CONA,1,GRB2
100,ANTICD3,-1,FYN
101,ANTICD3,-1,PAG
102,ANTICD3,1,TCRP
103,TNFA,1,CASP8
104,TNFA,1,MAP3K1
105,TNFA,1,IKBA
106,IL1R1,1,TAK1
107,POLYIC,1,TAK1
108,LPS,1,TAK1
109,LCK,-1,PLCG1
110,SH3BP2,1,RAC1
111,VITD3,1,STAT1
