V1,V2,V3
1,AKT1,-1,RAF1
2,AKT1,1,STAT3
3,AKT1,-1,ZAP70
4,ANTICD3,1,WNK1
5,BN201,1,SGK
6,CBL,-1,EGFR
7,CBL,1,FYN
8,CBL,-1,PGFRB
9,CBL,-1,PI3K
10,CBL,-1,TCRP
11,CBL,-1,ZAP70
12,DAG1,1,PKC
13,DMF,1,NF2L2
14,EGCG,-1,EGFR
15,EGCG,-1,MKO3
16,EGCG,-1,PI3K
17,EGFR,1,CBL
18,EGFR,1,GRB2
19,FYN,-1,TCRP
20,GP130,1,JAK1
21,IFNG,1,JAK1
22,IL1A,1,IL1R1
23,IL6,1,GP130
24,JAK1,1,PTN11
25,JAK1,1,STAT1
26,LCK,1,FYN
27,LCK,-1,PI3K
28,LCK,-1,ZAP70
29,MAP2K4,1,MK12
30,MAP3K1,1,MAP2K4
31,MAP3K1,1,MK12
32,MK12,1,SGK
33,MK12,-1,TAK1
34,MP2K1,1,MKO3
35,NF2L2,1,CREB1
36,NF2L2,1,JUN
37,PGFRB,1,CBL
38,PI3K,1,PIP3
39,PIP3,1,KPCZ
40,PKC,1,FAK1
41,PLCG1,1,DAG1
42,PLCG1,1,PKC
43,RAC1,1,MAP3K1
44,RAF1,1,MP2K1
45,RAF1,1,SGK
46,RAS,1,MAP3K1
47,RAS,1,RAF1
48,REBIF,1,JAK1
49,SGK,1,IKBA
50,SGK,1,MKO3
51,SH3BP2,1,VAV
52,SLP76,1,AKT1
53,SOCS1,-1,STAT1
54,STAT5,1,BCLXL
55,TAK1,1,MAP2K4
56,VAV,1,PLCG1
57,VAV,1,RAC1
58,ZAP70,1,SH3BP2
59,ZAP70,1,SLP76
60,FYN,-1,ZAP70
61,AKT1,1,BCLXL
62,CASP8,1,FAK1
63,PAG,1,LCK
64,BCLXL,-1,FAK1
65,TCRP,-1,DAG1
66,STAT3,1,JUN
67,GRB2,-1,SLP76
68,DAG1,1,RAS
69,KPCZ,-1,FAK1
70,SGK,-1,FAK1
71,KPCZ,1,IKBA
72,TAK1,1,IKBA
73,INS,1,PI3K
74,SLP76,1,PLCG1
75,PLCG1,1,IKBA
76,H2O2,1,NF2L2
77,ZAP70,1,GRB2
78,TAK1,1,MK12
79,NACL,1,MK12
80,RAC1,1,MAP2K4
81,MAP2K4,1,JUN
82,PKC,1,IKBA
83,BDNF,1,GRB2
84,PIP3,1,PKC
85,P53,-1,PIP3
86,P53,-1,BCLXL
87,CONA,-1,PIP3
88,MKO3,-1,LCK
89,STAT3,-1,GP130
90,GRB2,1,RAS
91,CONA,1,STAT5
92,CONA,1,VAV
93,CONA,1,GRB2
94,ANTICD3,-1,FYN
95,ANTICD3,-1,PAG
96,TNFA,1,CASP8
97,TNFA,1,MAP3K1
98,TNFA,1,IKBA
99,IL1R1,1,TAK1
100,POLYIC,1,TAK1
101,LPS,1,TAK1
102,SH3BP2,1,RAC1
103,VITD3,1,STAT1
