V1,V2,V3
1,AKT1,-1,RAF1
2,AKT1,-1,SLP76
3,AKT1,1,STAT1
4,AKT1,-1,ZAP70
5,BN201,1,SGK
6,CBL,-1,EGFR
7,CBL,1,FYN
8,CBL,1,LCK
9,CBL,-1,PGFRB
10,CBL,-1,PI3K
11,CBL,-1,TCRP
12,DMF,1,NF2L2
13,EGCG,-1,EGFR
14,EGCG,-1,MKO3
15,EGCG,-1,PI3K
16,EGFR,1,CBL
17,FYN,-1,TCRP
18,GP130,1,JAK1
19,GP130,1,PTN11
20,IFNG,1,JAK1
21,IL1A,1,IL1R1
22,IL6,1,GP130
23,JAK1,1,AKT1
24,JAK1,1,PTN11
25,JAK1,1,STAT1
26,JAK1,1,STAT6
27,LCK,1,FYN
28,LCK,-1,PI3K
29,LCK,-1,STAT3
30,LCK,-1,STAT5
31,LCK,-1,TCRP
32,LCK,-1,ZAP70
33,MAP2K4,1,MK12
34,MAP3K1,1,MAP2K4
35,MAP3K1,1,MK12
36,MK12,1,CREB1
37,MK12,1,SGK
38,MK12,-1,TAK1
39,MKO3,1,JUN
40,MKO3,-1,ZAP70
41,MP2K1,1,MKO3
42,NF2L2,1,CREB1
43,NF2L2,1,JUN
44,PGFRB,1,GRB2
45,PI3K,1,PIP3
46,PIP3,1,AKT1
47,PKC,1,FAK1
48,PLCG1,1,DAG1
49,PLCG1,1,PKC
50,RAC1,1,MAP3K1
51,RAF1,1,MP2K1
52,RAF1,1,SGK
53,RAS,1,MAP3K1
54,RAS,1,RAF1
55,REBIF,1,JAK1
56,SGK,1,CREB1
57,SGK,1,IKBA
58,SGK,1,MKO3
59,SH3BP2,1,VAV
60,SLP76,1,AKT1
61,SLP76,1,VAV
62,SOCS1,-1,STAT1
63,STAT5,1,BCLXL
64,TAK1,1,MAP2K4
65,TCRP,1,ZAP70
66,VAV,1,PKC
67,VAV,1,PLCG1
68,VAV,1,RAC1
69,ZAP70,1,SH3BP2
70,ZAP70,1,SLP76
71,PAG,1,LCK
72,BCLXL,-1,FAK1
73,ZAP70,-1,SLP76
74,DAG1,1,RAS
75,KPCZ,-1,FAK1
76,SGK,-1,FAK1
77,TAK1,1,IKBA
78,CONA,1,PI3K
79,INS,1,PI3K
80,PIP3,1,PLCG1
81,PLCG1,1,IKBA
82,H2O2,1,NF2L2
83,TAK1,1,MK12
84,NACL,1,MK12
85,RAC1,1,MAP2K4
86,BDNF,1,GRB2
87,P53,-1,PIP3
88,MK12,1,HSPB1
89,PI3K,1,CREB1
90,MKO3,-1,LCK
91,STAT3,-1,GP130
92,GRB2,1,RAS
93,CONA,1,PLCG1
94,CONA,1,STAT5
95,CONA,1,VAV
96,CONA,1,GRB2
97,ANTICD3,-1,FYN
98,ANTICD3,-1,PAG
99,ANTICD3,1,TCRP
100,TNFA,1,MAP3K1
101,TNFA,1,IKBA
102,IL1R1,1,TAK1
103,POLYIC,1,TAK1
104,LPS,1,TAK1
105,LCK,-1,PLCG1
106,SH3BP2,1,RAC1
107,VITD3,1,STAT1
