"","Subgroup","Mean","Median","WilcoxTest_W1Drug_W2RRUntreated"
"1","All",0.749181094977302,0.744047619047619,NA
"2","Self",0.948848976141965,0.957118348519089,NA
"3","Healthy",0.746210496210496,0.744047619047619,NA
"4","EGCG",0.761904761904762,0.761904761904762,0.209804361369956
"5","FTY",0.75534188034188,0.75,0.00250145818049609
"6","IFNb",0.75030193236715,0.755952380952381,7.80951685410077e-06
"7","GA",0.747354497354497,0.738095238095238,0.264810294521846
"8","NTZ",0.750348092453356,0.744047619047619,0.000343283622485016
"9","RR Untreated",0.736592111592112,0.732142857142857,NA
"10","Untreated",0.739291976287885,0.738095238095238,NA
