"","Reaction","Stimulus","Readout","drugScore"
"1","IL1A=IL1R1","IL1A","MK12","-0.144067796610169"
"2","IL1A=IL1R1","IL1A","MKO3","-0.144067796610169"
"3","RAF1=SGK","ANTICD3","MKO3","-0.26271186440678"
"4","RAF1=SGK","BDNF","MKO3","-0.26271186440678"
"5","RAF1=SGK","CONA","MKO3","-0.26271186440678"
"6","SLP76=AKT1","ANTICD3","AKT1","-0.277966101694915"
"7","SLP76=AKT1","ANTICD3","STAT1","-0.277966101694915"
"8","SLP76=AKT1","ANTICD3","GSK3A","-0.277966101694915"
"9","ZAP70=SLP76","ANTICD3","AKT1","-0.261016949152542"
"10","ZAP70=SLP76","ANTICD3","STAT1","-0.261016949152542"
"11","ZAP70=SLP76","ANTICD3","GSK3A","-0.261016949152542"
"12","CONA=GRB2","CONA","MP2K1","-0.361016949152542"
"13","CONA=GRB2","CONA","MKO3","-0.361016949152542"
"14","IL1R1=TAK1","IL1A","MK12","-0.161016949152542"
"15","IL1R1=TAK1","IL1A","MKO3","-0.161016949152542"
