"","Reaction","Stimulus","Readout","drugScore"
"1","IL1A=IL1R1","IL1A","HSPB1","-0.105606258148631"
"2","IL1A=IL1R1","IL1A","AKT1","-0.105606258148631"
"3","IL1A=IL1R1","IL1A","MK12","-0.105606258148631"
"4","IL1A=IL1R1","IL1A","MP2K1","-0.105606258148631"
"5","IL1A=IL1R1","IL1A","MKO3","-0.105606258148631"
"6","IL1A=IL1R1","IL1A","STAT5","-0.105606258148631"
"7","RAC1=MAP3K1","CONA","HSPB1","-0.190352020860495"
"8","RAC1=MAP3K1","CONA","AKT1","-0.190352020860495"
"9","RAC1=MAP3K1","CONA","MK12","-0.190352020860495"
"10","RAC1=MAP3K1","CONA","MP2K1","-0.190352020860495"
"11","RAC1=MAP3K1","CONA","MKO3","-0.190352020860495"
"12","RAC1=MAP3K1","CONA","STAT5","-0.190352020860495"
"13","REBIF=JAK1","REBIF","STAT6","-0.0904894464216498"
"14","MK12=HSPB1","IL1A","HSPB1","-0.276753937770887"
"15","MK12=HSPB1","INS","HSPB1","-0.276753937770887"
"16","MK12=HSPB1","LPS","HSPB1","-0.276753937770887"
"17","MK12=HSPB1","POLYIC","HSPB1","-0.276753937770887"
"18","MK12=HSPB1","CONA","HSPB1","-0.276753937770887"
"19","MK12=HSPB1","TNFA","HSPB1","-0.276753937770887"
"20","IL1R1=TAK1","IL1A","HSPB1","-0.122555410691004"
"21","IL1R1=TAK1","IL1A","AKT1","-0.122555410691004"
"22","IL1R1=TAK1","IL1A","MK12","-0.122555410691004"
"23","IL1R1=TAK1","IL1A","MP2K1","-0.122555410691004"
"24","IL1R1=TAK1","IL1A","MKO3","-0.122555410691004"
"25","IL1R1=TAK1","IL1A","STAT5","-0.122555410691004"
