"","Reaction","Stimulus","Readout","drugScore"
"1","!CBL=ZAP70","EGCG","AKT1","-0.194915254237288"
"2","!CBL=ZAP70","EGCG","GSK3A","-0.194915254237288"
"3","GP130=JAK1","IL6","STAT1","-0.110875706214689"
"4","GP130=JAK1","IL6","STAT3","-0.110875706214689"
"5","JAK1=STAT1","REBIF","STAT1","-0.0564971751412429"
"6","JAK1=STAT1","IFNG","STAT1","-0.0564971751412429"
"7","JAK1=STAT1","IL6","STAT1","-0.0564971751412429"
"8","MAP3K1=MK12","BDNF","HSPB1","-0.124694609864101"
"9","MAP3K1=MK12","BDNF","MK12","-0.124694609864101"
"10","MAP3K1=MK12","BDNF","MKO3","-0.124694609864101"
"11","MAP3K1=MK12","INS","HSPB1","-0.124694609864101"
"12","MAP3K1=MK12","INS","MK12","-0.124694609864101"
"13","MAP3K1=MK12","INS","MKO3","-0.124694609864101"
"14","MAP3K1=MK12","CONA","HSPB1","-0.124694609864101"
"15","MAP3K1=MK12","CONA","MK12","-0.124694609864101"
"16","MAP3K1=MK12","CONA","MKO3","-0.124694609864101"
"17","MAP3K1=MK12","TNFA","HSPB1","-0.124694609864101"
"18","MAP3K1=MK12","TNFA","MK12","-0.124694609864101"
"19","MAP3K1=MK12","TNFA","MKO3","-0.124694609864101"
"20","SLP76=AKT1","ANTICD3","AKT1","-0.136299435028249"
"21","SLP76=AKT1","ANTICD3","GSK3A","-0.136299435028249"
"22","SLP76=AKT1","EGCG","AKT1","-0.136299435028249"
"23","SLP76=AKT1","EGCG","GSK3A","-0.136299435028249"
"24","LPS=TAK1","LPS","HSPB1","-0.144774011299435"
"25","LPS=TAK1","LPS","MK12","-0.144774011299435"
"26","LPS=TAK1","LPS","MKO3","-0.144774011299435"
